rank,excel_row_number,ID,年份,批次,院校代码,院校名称,院校专业组代码,专业组名称,专业代码,专业名称,专业全称,城市,学费,专业组最低位次1,最低位次1,院校标签,院校排名,ranking_key,safety_margin_pct,cooperation_filter_status
28,16158,16155,2024,专科高职批,12046,广州番禺职业技术学院,12046508,508组,043,计算机应用技术,计算机应用技术(校本部),广州,6410.0,203240,195707,省重点/示范高职/双高计划B档,/,168040,5.3513,not_executed_missing_cooperation_type_field
29,16159,16156,2024,专科高职批,12046,广州番禺职业技术学院,12046508,508组,044,计算机网络技术,计算机网络技术(校本部),广州,6410.0,203240,204839,省重点/示范高职/双高计划B档,/,168040,5.3513,not_executed_missing_cooperation_type_field
30,20073,20070,2024,专科高职批,12953,广东邮电职业技术学院,12953507,507组(高技能人才),072,计算机应用技术,计算机应用技术(与韩山师范学院三二分段培养，与韩山师范学院计算机科学与技术专业开展三二分段专升本协同育人项目实验班，完成三年高职学段学习，各项考核合格，并符合相关条件和要求的，获得本校普通高职(专科)毕业证书，通过转段选拔考核合格的进入韩山师范学院试点专业学习两年，符合相关条件和要求的，可获得韩山师范学院的普通本科毕业证书和学位证书，协同培养高技能人才，第一学年江门校区，第二、三学年广州校区))(按五年人才培养方案要求，不招单色识别不全者),广州,6410.0,205904,206706,,/,170704,5.4345,not_executed_missing_cooperation_type_field
31,13392,13389,2024,专科高职批,11113,深圳职业技术大学,11113541,541组,405,计算机网络技术,计算机网络技术(面向深圳市内，西丽校区)(不招单色识别不全者),深圳,6000.0,218431,,国重点/示范高职/双高计划A档,/,183231,5.826,not_executed_missing_cooperation_type_field
32,13397,13394,2024,专科高职批,11113,深圳职业技术大学,11113541,541组,412,计算机应用技术,计算机应用技术(面向深圳市内，西丽校区)(不招单色识别不全者),深圳,6000.0,218431,,国重点/示范高职/双高计划A档,/,183231,5.826,not_executed_missing_cooperation_type_field
33,30136,30133,2024,专科高职批,14845,深圳城市职业学院,14845502,502组,101,计算机网络技术,计算机网络技术(校本部),深圳,6000.0,220835,212345,,/,185635,5.9011,not_executed_missing_cooperation_type_field
34,11786,11783,2024,专科高职批,10833,广东轻工职业技术大学,10833508,508组,131,计算机类,计算机类(含：软件技术、大数据技术、工业互联网技术、工业软件开发技术、数字媒体技术、信息安全技术应用，第一学期末专业分流，具体专业分流情况请查看学校网站，南海校区北区)(不招单色识别不全者),广州,6410.0,234988,235981,省重点/示范高职/双高计划B档,/,199788,6.3434,not_executed_missing_cooperation_type_field
35,25884,25881,2024,专科高职批,13943,广州铁路职业技术学院,13943505,505组,216,计算机类,计算机类(含：铁道信号自动控制、铁道通信与信息化技术、计算机应用技术、人工智能技术应用，第一学年专业分流，具体专业分流情况请查看学校网站，校本部)(因用人单位可能对考生身体素质有要求，请色盲、色弱，女生、男生身高<168cm的考生慎重报考铁道信号自动控制、铁道通信与信息化技术专业),广州,6410.0,243153,243204,骨干高职,/,207953,6.5985,not_executed_missing_cooperation_type_field
36,8732,8729,2024,本科批,10588,广东技术师范大学,10588230,230组(民族班),104,计算机科学与技术,计算机科学与技术(师范，第一学年河源校区，第二至四学年广州校区)(民族班)(只招少数民族),广州,5710.0,252780,179257,,328,217580,6.8994,not_executed_missing_cooperation_type_field
37,20248,20245,2024,专科高职批,12957,深圳信息职业技术学院,12957515,515组,215,计算机应用技术,计算机应用技术(面向深圳市内，校本部),深圳,6000.0,260581,,骨干高职/双高计划B档,/,225381,7.1432,not_executed_missing_cooperation_type_field
38,20249,20246,2024,专科高职批,12957,深圳信息职业技术学院,12957515,515组,216,计算机网络技术,计算机网络技术(面向深圳市内，校本部),深圳,6000.0,260581,,骨干高职/双高计划B档,/,225381,7.1432,not_executed_missing_cooperation_type_field
39,16095,16092,2024,专科高职批,12040,广州民航职业技术学院,12040504,504组,024,计算机应用技术,计算机应用技术(花都赤坭校区),广州,6410.0,262538,,示范高职/第四类高水平专业群C档,/,227338,7.2043,not_executed_missing_cooperation_type_field
40,16108,16105,2024,专科高职批,12040,广州民航职业技术学院,12040508,508组(高技能人才),025,计算机应用技术,计算机应用技术(与广东培正学院三二分段培养，与广东培正学院计算机科学与技术(云计算)专业开展三二分段专升本协同育人项目实验班，完成三年高职学段学习，各项考核合格，并符合相关条件和要求的，获得本校普通高职(专科)毕业证书，通过转段选拔考核合格的进入广东培正学院试点专业学习两年，符合相关条件和要求的，可获得广东培正学院的普通本科毕业证书和学位证书，协同培养高技能人才，花都赤坭校区)(按五年人才培养方案要求),广州,6410.0,264290,,示范高职/第四类高水平专业群C档,/,229090,7.2591,not_executed_missing_cooperation_type_field
41,17378,17375,2024,专科高职批,12572,广东科学技术职业学院,12572510,510组,234,计算机应用技术,计算机应用技术(广州校区),广州,6410.0,272933,,骨干高职/第三类高水平专业群B档,/,237733,7.5292,not_executed_missing_cooperation_type_field
42,25712,25709,2024,专科高职批,13930,广东工程职业技术学院,13930510,510组(高技能人才),024,计算机网络技术,计算机网络技术(与广州商学院三二分段培养，与广州商学院计算机科学与技术专业开展三二分段专升本协同育人项目实验班，完成三年高职学段学习，各项考核合格，并符合相关条件和要求的，获得本校普通高职(专科)毕业证书，通过转段选拔考核合格的进入广州商学院试点专业学习两年，符合相关条件和要求的，可获得广州商学院的普通本科毕业证书和学位证书，协同培养高技能人才，广州校区)(按五年人才培养方案要求),广州,6410.0,276006,,,/,240806,7.6252,not_executed_missing_cooperation_type_field
43,25639,25636,2024,专科高职批,13929,广州城市职业学院,13929506,506组,114,计算机应用技术,计算机应用技术(科教城校区),广州,6410.0,278299,,省重点,/,243099,7.6968,not_executed_missing_cooperation_type_field
44,17390,17387,2024,专科高职批,12572,广东科学技术职业学院,12572512,512组,201,计算机类,计算机类(含：计算机网络技术、软件技术、大数据技术、云计算技术应用、人工智能技术应用、移动应用开发，实行学分制收费，具体分流情况请查看学校网站，珠海校区),广州,6410.0,279132,,骨干高职/第三类高水平专业群B档,/,243932,7.7229,not_executed_missing_cooperation_type_field
45,25666,25663,2024,专科高职批,13929,广州城市职业学院,13929510,510组(高技能人才),117,计算机网络技术,计算机网络技术(与广州理工学院三二分段培养，与广州理工学院网络工程专业开展三二分段专升本协同育人项目实验班，完成三年高职学段学习，各项考核合格，并符合相关条件和要求的，获得本校普通高职(专科)毕业证书，通过转段选拔考核合格的进入广州理工学院试点专业学习两年，符合相关条件和要求的，可获得广州理工学院的普通本科毕业证书和学位证书，协同培养高技能人才，科教城校区)(按照五年人才培养方案要求),广州,6410.0,281747,,省重点,/,246547,7.8046,not_executed_missing_cooperation_type_field
46,20420,20417,2024,专科高职批,12959,广东工贸职业技术学院,12959501,501组,026,计算机网络技术,计算机网络技术(天河校区),广州,6410.0,285011,,,/,249811,7.9066,not_executed_missing_cooperation_type_field
47,12047,12044,2024,专科高职批,10862,广东水利电力职业技术学院,10862501,501组,130,计算机应用技术,计算机应用技术(天河校区),广州,6410.0,296547,,骨干高职,/,261347,8.2671,not_executed_missing_cooperation_type_field
48,25713,25710,2024,专科高职批,13930,广东工程职业技术学院,13930513,513组(学分互认),020,计算机应用技术,计算机应用技术(与美国贝佛大学学分互认项目，广州校区),广州,18000.0,302854,,,/,267654,8.4642,not_executed_missing_cooperation_type_field
